suspected_spell_err,num_first_person_use,num_third_person_use,mention_of_emotion,mention_of_substance,mention_of_manic,mention_of_crime,mention_of_selfharm,mention_of_hospitalization,mention_of_societal,mention_of_therapy,mention_of_violence,mention_of_isolation,label
4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0,1
36,0,6,2,0,1,1,7,0,0,4,8,1,1
8,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,1,0,0,0,1,0,0,0,1,0,1
5,0,0,0,0,0,0,1,0,0,0,1,0,1
11,2,1,0,0,0,0,1,0,0,0,1,1,1
5,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,0,0,0,1,0,2,0,0,0,2,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,3,0,0,0,2,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2,1,1,0,1,0,1,0,0,5,1,1,1
16,0,0,0,0,2,0,1,0,0,0,0,0,1
20,2,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,2,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,1,0,0,1,1
11,0,0,0,0,0,0,4,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,4,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,0,0,0,0,0,0,0,1
32,1,0,0,1,0,0,2,4,1,8,1,0,1
4,1,0,0,1,0,0,2,0,0,0,1,0,1
8,0,1,0,3,0,0,1,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,0,2,0,0,1,1,0,0,0,3,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,1,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,1,0,0,0,1,0,1
8,1,0,1,0,0,0,1,2,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1
10,0,1,2,0,0,0,0,0,0,0,0,0,1
